SBM Graph: 10000 nodes, 297281 edges
dict_keys(['dmv', 'dwmv', 'dvm', 'dlp'])
In community 25 the proportion of [0, 1, -1] 's is [0.27, 0.48, 0.25]
In community 26 the proportion of [1, -1, 0] 's is [0.25, 0.64, 0.11]
In community 27 the proportion of [0, -1, 1] 's is [0.25, 0.53, 0.22]
In community 28 the proportion of [-1, 0, 1] 's is [0.41, 0.26, 0.33]
In community 29 the proportion of [0, -1, 1] 's is [0.24, 0.19, 0.57]
In community 30 the proportion of [-1, 1, 0] 's is [0.3, 0.33, 0.37]
In community 31 the proportion of [0, 1, -1] 's is [0.25, 0.28, 0.47]
In community 32 the proportion of [1, 0, -1] 's is [0.61, 0.17, 0.22]
In community 33 the proportion of [1, -1, 0] 's is [0.44, 0.4, 0.16]
In community 34 the proportion of [1, -1, 0] 's is [0.32, 0.49, 0.19]
In community 35 the proportion of [-1, 1, 0] 's is [0.19, 0.68, 0.13]
In community 36 the proportion of [1, -1, 0] 's is [0.48, 0.42, 0.1]
In community 37 the proportion of [1, -1, 0] 's is [0.42, 0.42, 0.16]
In community 38 the proportion of [1, -1, 0] 's is [0.57, 0.38, 0.05]
In community 39 the proportion of [0, -1, 1] 's is [0.39, 0.34, 0.27]
In community 40 the proportion of [1, -1, 0] 's is [0.45, 0.24, 0.31]
In community 41 the proportion of [1, 0, -1] 's is [0.41, 0.14, 0.45]
In community 42 the proportion of [1, 0, -1] 's is [0.4, 0.17, 0.43]
In community 43 the proportion of [1, 0, -1] 's is [0.41, 0.03, 0.56]
In community 44 the proportion of [1, 0, -1] 's is [0.48, 0.18, 0.34]
In community 45 the proportion of [1, 0, -1] 's is [0.3, 0.4, 0.3]
In community 46 the proportion of [1, 0, -1] 's is [0.73, 0.03, 0.24]
In community 47 the proportion of [-1, 0, 1] 's is [0.41, 0.2, 0.39]
In community 48 the proportion of [0, -1, 1] 's is [0.19, 0.41, 0.4]
In community 49 the proportion of [1, 0, -1] 's is [0.5, 0.23, 0.27]
In community 50 the proportion of [1, 0, -1] 's is [0.39, 0.09, 0.52]
In community 51 the proportion of [0, -1, 1] 's is [0.32, 0.49, 0.19]
In community 52 the proportion of [1, -1, 0] 's is [0.39, 0.35, 0.26]
In community 53 the proportion of [1, 0, -1] 's is [0.5, 0.07, 0.43]
In community 54 the proportion of [1, -1, 0] 's is [0.58, 0.31, 0.11]
In community 55 the proportion of [0, 1, -1] 's is [0.15, 0.32, 0.53]
In community 56 the proportion of [0, 1, -1] 's is [0.13, 0.42, 0.45]
In community 57 the proportion of [1, 0, -1] 's is [0.35, 0.25, 0.4]
In community 58 the proportion of [-1, 1, 0] 's is [0.44, 0.37, 0.19]
In community 59 the proportion of [1, 0, -1] 's is [0.5, 0.14, 0.36]
In community 60 the proportion of [1, -1, 0] 's is [0.4, 0.52, 0.08]
In community 61 the proportion of [1, 0, -1] 's is [0.58, 0.13, 0.29]
In community 62 the proportion of [-1, 1, 0] 's is [0.35, 0.53, 0.12]
In community 63 the proportion of [0, 1, -1] 's is [0.22, 0.61, 0.17]
In community 64 the proportion of [0, -1, 1] 's is [0.3, 0.36, 0.34]
In community 65 the proportion of [1, -1, 0] 's is [0.51, 0.35, 0.14]
In community 66 the proportion of [1, 0, -1] 's is [0.5, 0.08, 0.42]
In community 67 the proportion of [1, -1, 0] 's is [0.71, 0.18, 0.11]
In community 68 the proportion of [1, -1, 0] 's is [0.26, 0.54, 0.2]
In community 69 the proportion of [1, -1, 0] 's is [0.59, 0.34, 0.07]
In community 70 the proportion of [1, -1, 0] 's is [0.61, 0.27, 0.12]
In community 71 the proportion of [-1, 1, 0] 's is [0.36, 0.31, 0.33]
In community 72 the proportion of [1, -1, 0] 's is [0.67, 0.18, 0.15]
In community 73 the proportion of [-1, 1, 0] 's is [0.43, 0.47, 0.1]
In community 74 the proportion of [-1, 0, 1] 's is [0.6, 0.19, 0.21]
In community 75 the proportion of [1, -1, 0] 's is [0.5, 0.37, 0.13]
In community 76 the proportion of [-1, 1, 0] 's is [0.39, 0.5, 0.11]
In community 77 the proportion of [0, -1, 1] 's is [0.22, 0.47, 0.31]
In community 78 the proportion of [1, -1, 0] 's is [0.47, 0.42, 0.11]
In community 79 the proportion of [-1, 0, 1] 's is [0.38, 0.16, 0.46]
In community 80 the proportion of [0, -1, 1] 's is [0.12, 0.46, 0.42]
In community 81 the proportion of [-1, 1, 0] 's is [0.62, 0.2, 0.18]
In community 82 the proportion of [-1, 1, 0] 's is [0.43, 0.4, 0.17]
In community 83 the proportion of [1, -1, 0] 's is [0.4, 0.4, 0.2]
In community 84 the proportion of [-1, 1, 0] 's is [0.47, 0.39, 0.14]
In community 85 the proportion of [0, -1, 1] 's is [0.09, 0.47, 0.44]
In community 86 the proportion of [-1, 0, 1] 's is [0.38, 0.36, 0.26]
In community 87 the proportion of [1, -1, 0] 's is [0.38, 0.49, 0.13]
In community 88 the proportion of [-1, 1, 0] 's is [0.29, 0.66, 0.05]
In community 89 the proportion of [0, 1, -1] 's is [0.36, 0.27, 0.37]
In community 90 the proportion of [1, -1, 0] 's is [0.42, 0.39, 0.19]
In community 91 the proportion of [1, -1, 0] 's is [0.45, 0.34, 0.21]
In community 92 the proportion of [-1, 1, 0] 's is [0.39, 0.31, 0.3]
In community 93 the proportion of [1, 0, -1] 's is [0.61, 0.16, 0.23]
In community 94 the proportion of [-1, 1, 0] 's is [0.34, 0.44, 0.22]
In community 95 the proportion of [1, -1, 0] 's is [0.43, 0.48, 0.09]
In community 96 the proportion of [1, -1, 0] 's is [0.33, 0.47, 0.2]
In community 97 the proportion of [1, -1, 0] 's is [0.56, 0.32, 0.12]
In community 98 the proportion of [1, -1, 0] 's is [0.51, 0.36, 0.13]
In community 99 the proportion of [1, 0, -1] 's is [0.43, 0.18, 0.39]
SBM Graph: 10000 nodes, 297281 edges
dict_keys(['dmv', 'dwmv', 'dvm', 'dlp'])
In community 0 the proportion of [1, -1, 0] 's is [0.41, 0.37, 0.22]
In community 1 the proportion of [1, 0, -1] 's is [0.47, 0.17, 0.36]
In community 2 the proportion of [1, -1, 0] 's is [0.52, 0.36, 0.12]
In community 3 the proportion of [1, -1, 0] 's is [0.48, 0.38, 0.14]
In community 4 the proportion of [-1, 1, 0] 's is [0.4, 0.5, 0.1]
In community 5 the proportion of [0, -1, 1] 's is [0.2, 0.44, 0.36]
In community 6 the proportion of [0, -1, 1] 's is [0.17, 0.62, 0.21]
In community 7 the proportion of [0, 1, -1] 's is [0.29, 0.39, 0.32]
In community 8 the proportion of [1, -1, 0] 's is [0.53, 0.41, 0.06]
In community 9 the proportion of [-1, 1, 0] 's is [0.47, 0.42, 0.11]
In community 10 the proportion of [1, 0, -1] 's is [0.53, 0.13, 0.34]
In community 11 the proportion of [-1, 1, 0] 's is [0.27, 0.26, 0.47]
In community 12 the proportion of [-1, 1, 0] 's is [0.6, 0.27, 0.13]
In community 13 the proportion of [0, 1, -1] 's is [0.12, 0.46, 0.42]
In community 14 the proportion of [-1, 1, 0] 's is [0.37, 0.52, 0.11]
In community 15 the proportion of [0, 1, -1] 's is [0.38, 0.34, 0.28]
In community 16 the proportion of [1, -1, 0] 's is [0.46, 0.24, 0.3]
In community 17 the proportion of [1, -1, 0] 's is [0.64, 0.23, 0.13]
In community 18 the proportion of [0, 1, -1] 's is [0.31, 0.31, 0.38]
In community 19 the proportion of [0, 1, -1] 's is [0.12, 0.7, 0.18]
In community 20 the proportion of [-1, 0, 1] 's is [0.44, 0.11, 0.45]
In community 21 the proportion of [1, 0, -1] 's is [0.21, 0.2, 0.59]
In community 22 the proportion of [0, -1, 1] 's is [0.22, 0.3, 0.48]
In community 23 the proportion of [1, -1, 0] 's is [0.33, 0.56, 0.11]
In community 24 the proportion of [1, -1, 0] 's is [0.39, 0.46, 0.15]
In community 25 the proportion of [-1, 0, 1] 's is [0.42, 0.28, 0.3]
In community 26 the proportion of [1, -1, 0] 's is [0.32, 0.4, 0.28]
In community 27 the proportion of [-1, 1, 0] 's is [0.33, 0.52, 0.15]
In community 28 the proportion of [0, 1, -1] 's is [0.21, 0.3, 0.49]
In community 29 the proportion of [1, -1, 0] 's is [0.46, 0.49, 0.05]
In community 30 the proportion of [0, -1, 1] 's is [0.2, 0.53, 0.27]
In community 31 the proportion of [1, -1, 0] 's is [0.52, 0.36, 0.12]
In community 32 the proportion of [-1, 1, 0] 's is [0.23, 0.61, 0.16]
In community 33 the proportion of [1, -1, 0] 's is [0.46, 0.43, 0.11]
In community 34 the proportion of [-1, 1, 0] 's is [0.57, 0.33, 0.1]
In community 35 the proportion of [0, -1, 1] 's is [0.27, 0.39, 0.34]
In community 36 the proportion of [1, -1, 0] 's is [0.21, 0.65, 0.14]
In community 37 the proportion of [1, -1, 0] 's is [0.44, 0.5, 0.06]
In community 38 the proportion of [-1, 0, 1] 's is [0.53, 0.19, 0.28]
In community 39 the proportion of [1, -1, 0] 's is [0.53, 0.39, 0.08]
In community 40 the proportion of [1, -1, 0] 's is [0.36, 0.29, 0.35]
In community 41 the proportion of [0, -1, 1] 's is [0.28, 0.27, 0.45]
In community 42 the proportion of [0, -1, 1] 's is [0.41, 0.29, 0.3]
In community 43 the proportion of [-1, 1, 0] 's is [0.32, 0.39, 0.29]
In community 44 the proportion of [0, -1, 1] 's is [0.25, 0.65, 0.1]
In community 45 the proportion of [-1, 1, 0] 's is [0.53, 0.45, 0.02]
In community 46 the proportion of [0, -1, 1] 's is [0.31, 0.48, 0.21]
In community 47 the proportion of [1, -1, 0] 's is [0.36, 0.41, 0.23]
In community 48 the proportion of [-1, 1, 0] 's is [0.37, 0.41, 0.22]
In community 49 the proportion of [1, -1, 0] 's is [0.59, 0.25, 0.16]
In community 50 the proportion of [1, -1, 0] 's is [0.46, 0.4, 0.14]
In community 51 the proportion of [0, 1, -1] 's is [0.17, 0.29, 0.54]
In community 52 the proportion of [-1, 1, 0] 's is [0.48, 0.3, 0.22]
In community 53 the proportion of [1, -1, 0] 's is [0.39, 0.4, 0.21]
In community 54 the proportion of [-1, 1, 0] 's is [0.68, 0.2, 0.12]
In community 55 the proportion of [1, -1, 0] 's is [0.23, 0.6, 0.17]
In community 56 the proportion of [-1, 1, 0] 's is [0.48, 0.4, 0.12]
In community 57 the proportion of [-1, 0, 1] 's is [0.35, 0.19, 0.46]
In community 58 the proportion of [1, 0, -1] 's is [0.37, 0.21, 0.42]
In community 59 the proportion of [0, -1, 1] 's is [0.26, 0.44, 0.3]
In community 60 the proportion of [1, 0, -1] 's is [0.6, 0.12, 0.28]
In community 61 the proportion of [0, 1, -1] 's is [0.11, 0.45, 0.44]
In community 62 the proportion of [-1, 0, 1] 's is [0.55, 0.25, 0.2]
In community 63 the proportion of [-1, 1, 0] 's is [0.49, 0.43, 0.08]
In community 64 the proportion of [-1, 1, 0] 's is [0.33, 0.53, 0.14]
In community 65 the proportion of [1, -1, 0] 's is [0.31, 0.55, 0.14]
In community 66 the proportion of [1, -1, 0] 's is [0.62, 0.25, 0.13]
In community 67 the proportion of [-1, 1, 0] 's is [0.44, 0.41, 0.15]
In community 68 the proportion of [0, -1, 1] 's is [0.18, 0.47, 0.35]
In community 69 the proportion of [1, -1, 0] 's is [0.56, 0.3, 0.14]
In community 70 the proportion of [0, -1, 1] 's is [0.11, 0.36, 0.53]
In community 71 the proportion of [-1, 1, 0] 's is [0.32, 0.53, 0.15]
In community 72 the proportion of [-1, 1, 0] 's is [0.51, 0.25, 0.24]
In community 73 the proportion of [1, 0, -1] 's is [0.45, 0.28, 0.27]
In community 74 the proportion of [0, 1, -1] 's is [0.28, 0.42, 0.3]
In community 75 the proportion of [-1, 1, 0] 's is [0.55, 0.35, 0.1]
In community 76 the proportion of [1, 0, -1] 's is [0.5, 0.26, 0.24]
In community 77 the proportion of [1, -1, 0] 's is [0.68, 0.28, 0.04]
In community 78 the proportion of [-1, 1, 0] 's is [0.65, 0.2, 0.15]
In community 79 the proportion of [-1, 1, 0] 's is [0.46, 0.42, 0.12]
In community 80 the proportion of [-1, 0, 1] 's is [0.38, 0.43, 0.19]
In community 81 the proportion of [-1, 1, 0] 's is [0.36, 0.41, 0.23]
In community 82 the proportion of [-1, 1, 0] 's is [0.54, 0.41, 0.05]
In community 83 the proportion of [-1, 0, 1] 's is [0.7, 0.16, 0.14]
In community 84 the proportion of [1, -1, 0] 's is [0.34, 0.57, 0.09]
In community 85 the proportion of [0, -1, 1] 's is [0.09, 0.51, 0.4]
In community 86 the proportion of [1, -1, 0] 's is [0.47, 0.33, 0.2]
In community 87 the proportion of [-1, 0, 1] 's is [0.67, 0.09, 0.24]
In community 88 the proportion of [1, 0, -1] 's is [0.38, 0.34, 0.28]
In community 89 the proportion of [1, -1, 0] 's is [0.54, 0.22, 0.24]
In community 90 the proportion of [1, -1, 0] 's is [0.32, 0.63, 0.05]
In community 91 the proportion of [1, -1, 0] 's is [0.35, 0.37, 0.28]
In community 92 the proportion of [1, 0, -1] 's is [0.32, 0.26, 0.42]
In community 93 the proportion of [0, -1, 1] 's is [0.24, 0.55, 0.21]
In community 94 the proportion of [1, -1, 0] 's is [0.48, 0.41, 0.11]
In community 95 the proportion of [1, 0, -1] 's is [0.58, 0.16, 0.26]
In community 96 the proportion of [-1, 1, 0] 's is [0.3, 0.48, 0.22]
In community 97 the proportion of [1, -1, 0] 's is [0.3, 0.53, 0.17]
In community 98 the proportion of [1, -1, 0] 's is [0.43, 0.55, 0.02]
In community 99 the proportion of [-1, 1, 0] 's is [0.44, 0.44, 0.12]
SBM Graph: 10000 nodes, 297281 edges
dict_keys(['dmv', 'dwmv', 'dvm', 'dlp'])
In community 0 the proportion of [1, -1, 0] 's is [0.62, 0.26, 0.12]
In community 1 the proportion of [0, 1, -1] 's is [0.2, 0.56, 0.24]
In community 2 the proportion of [1, 0, -1] 's is [0.39, 0.24, 0.37]
In community 3 the proportion of [-1, 1, 0] 's is [0.34, 0.58, 0.08]
In community 4 the proportion of [-1, 1, 0] 's is [0.18, 0.57, 0.25]
In community 5 the proportion of [-1, 0, 1] 's is [0.34, 0.43, 0.23]
In community 6 the proportion of [-1, 1, 0] 's is [0.34, 0.6, 0.06]
In community 7 the proportion of [1, -1, 0] 's is [0.55, 0.31, 0.14]
In community 8 the proportion of [-1, 1, 0] 's is [0.38, 0.52, 0.1]
In community 9 the proportion of [-1, 1, 0] 's is [0.5, 0.34, 0.16]
In community 10 the proportion of [1, -1, 0] 's is [0.52, 0.23, 0.25]
In community 11 the proportion of [-1, 0, 1] 's is [0.3, 0.28, 0.42]
In community 12 the proportion of [-1, 1, 0] 's is [0.43, 0.38, 0.19]
In community 13 the proportion of [-1, 0, 1] 's is [0.48, 0.17, 0.35]
In community 14 the proportion of [0, 1, -1] 's is [0.22, 0.41, 0.37]
In community 15 the proportion of [-1, 1, 0] 's is [0.45, 0.41, 0.14]
In community 16 the proportion of [-1, 0, 1] 's is [0.44, 0.18, 0.38]
In community 17 the proportion of [-1, 1, 0] 's is [0.44, 0.49, 0.07]
In community 18 the proportion of [0, 1, -1] 's is [0.2, 0.52, 0.28]
In community 19 the proportion of [1, -1, 0] 's is [0.47, 0.39, 0.14]
In community 20 the proportion of [0, 1, -1] 's is [0.23, 0.4, 0.37]
In community 21 the proportion of [-1, 0, 1] 's is [0.42, 0.17, 0.41]
In community 22 the proportion of [1, -1, 0] 's is [0.45, 0.29, 0.26]
In community 23 the proportion of [-1, 1, 0] 's is [0.5, 0.38, 0.12]
In community 24 the proportion of [-1, 1, 0] 's is [0.62, 0.24, 0.14]
In community 25 the proportion of [0, 1, -1] 's is [0.14, 0.42, 0.44]
In community 26 the proportion of [0, -1, 1] 's is [0.22, 0.35, 0.43]
In community 27 the proportion of [1, -1, 0] 's is [0.38, 0.39, 0.23]
In community 28 the proportion of [0, -1, 1] 's is [0.07, 0.59, 0.34]
In community 29 the proportion of [-1, 0, 1] 's is [0.39, 0.16, 0.45]
In community 30 the proportion of [1, -1, 0] 's is [0.46, 0.33, 0.21]
In community 31 the proportion of [1, -1, 0] 's is [0.54, 0.4, 0.06]
In community 32 the proportion of [-1, 1, 0] 's is [0.39, 0.47, 0.14]
In community 33 the proportion of [1, 0, -1] 's is [0.39, 0.15, 0.46]
In community 34 the proportion of [1, -1, 0] 's is [0.38, 0.5, 0.12]
In community 35 the proportion of [0, -1, 1] 's is [0.29, 0.43, 0.28]
In community 36 the proportion of [-1, 1, 0] 's is [0.42, 0.47, 0.11]
In community 37 the proportion of [0, -1, 1] 's is [0.24, 0.3, 0.46]
In community 38 the proportion of [1, -1, 0] 's is [0.57, 0.24, 0.19]
In community 39 the proportion of [-1, 0, 1] 's is [0.25, 0.48, 0.27]
In community 40 the proportion of [0, 1, -1] 's is [0.28, 0.29, 0.43]
In community 41 the proportion of [1, -1, 0] 's is [0.63, 0.21, 0.16]
In community 42 the proportion of [-1, 1, 0] 's is [0.5, 0.34, 0.16]
In community 43 the proportion of [1, -1, 0] 's is [0.31, 0.35, 0.34]
In community 44 the proportion of [-1, 1, 0] 's is [0.45, 0.34, 0.21]
In community 45 the proportion of [-1, 0, 1] 's is [0.45, 0.34, 0.21]
In community 46 the proportion of [-1, 0, 1] 's is [0.4, 0.31, 0.29]
In community 47 the proportion of [1, 0, -1] 's is [0.36, 0.33, 0.31]
In community 48 the proportion of [1, -1, 0] 's is [0.46, 0.35, 0.19]
In community 49 the proportion of [1, -1, 0] 's is [0.41, 0.52, 0.07]
In community 50 the proportion of [0, 1, -1] 's is [0.2, 0.36, 0.44]
In community 51 the proportion of [-1, 1, 0] 's is [0.26, 0.55, 0.19]
In community 52 the proportion of [-1, 1, 0] 's is [0.49, 0.31, 0.2]
In community 53 the proportion of [1, -1, 0] 's is [0.42, 0.5, 0.08]
In community 54 the proportion of [1, 0, -1] 's is [0.52, 0.15, 0.33]
In community 55 the proportion of [-1, 1, 0] 's is [0.57, 0.27, 0.16]
In community 56 the proportion of [1, 0, -1] 's is [0.44, 0.18, 0.38]
In community 57 the proportion of [0, -1, 1] 's is [0.2, 0.34, 0.46]
In community 58 the proportion of [-1, 1, 0] 's is [0.39, 0.52, 0.09]
In community 59 the proportion of [0, -1, 1] 's is [0.19, 0.54, 0.27]
In community 60 the proportion of [-1, 1, 0] 's is [0.38, 0.51, 0.11]
In community 61 the proportion of [-1, 1, 0] 's is [0.3, 0.31, 0.39]
In community 62 the proportion of [1, -1, 0] 's is [0.35, 0.49, 0.16]
In community 63 the proportion of [1, -1, 0] 's is [0.4, 0.31, 0.29]
In community 64 the proportion of [1, 0, -1] 's is [0.42, 0.14, 0.44]
In community 65 the proportion of [-1, 1, 0] 's is [0.36, 0.49, 0.15]
In community 66 the proportion of [0, 1, -1] 's is [0.11, 0.64, 0.25]
In community 67 the proportion of [0, -1, 1] 's is [0.11, 0.36, 0.53]
In community 68 the proportion of [1, 0, -1] 's is [0.49, 0.44, 0.07]
In community 69 the proportion of [-1, 0, 1] 's is [0.46, 0.11, 0.43]
In community 70 the proportion of [-1, 1, 0] 's is [0.5, 0.19, 0.31]
In community 71 the proportion of [-1, 1, 0] 's is [0.18, 0.63, 0.19]
In community 72 the proportion of [-1, 1, 0] 's is [0.46, 0.2, 0.34]
In community 73 the proportion of [1, -1, 0] 's is [0.59, 0.29, 0.12]
In community 74 the proportion of [-1, 1, 0] 's is [0.63, 0.33, 0.04]
In community 75 the proportion of [0, -1, 1] 's is [0.31, 0.38, 0.31]
In community 76 the proportion of [1, 0, -1] 's is [0.31, 0.27, 0.42]
In community 77 the proportion of [-1, 1, 0] 's is [0.49, 0.19, 0.32]
In community 78 the proportion of [-1, 1, 0] 's is [0.32, 0.4, 0.28]
In community 79 the proportion of [-1, 1, 0] 's is [0.37, 0.51, 0.12]
In community 80 the proportion of [-1, 0, 1] 's is [0.48, 0.19, 0.33]
In community 81 the proportion of [0, -1, 1] 's is [0.1, 0.56, 0.34]
In community 82 the proportion of [1, -1, 0] 's is [0.29, 0.52, 0.19]
In community 83 the proportion of [1, 0, -1] 's is [0.42, 0.17, 0.41]
In community 84 the proportion of [0, 1, -1] 's is [0.18, 0.58, 0.24]
In community 85 the proportion of [1, 0, -1] 's is [0.45, 0.19, 0.36]
In community 86 the proportion of [-1, 1, 0] 's is [0.41, 0.38, 0.21]
In community 87 the proportion of [1, 0, -1] 's is [0.43, 0.17, 0.4]
In community 88 the proportion of [0, -1, 1] 's is [0.22, 0.45, 0.33]
In community 89 the proportion of [-1, 1, 0] 's is [0.56, 0.34, 0.1]
In community 90 the proportion of [1, -1, 0] 's is [0.43, 0.23, 0.34]
In community 91 the proportion of [-1, 0, 1] 's is [0.31, 0.19, 0.5]
In community 92 the proportion of [-1, 1, 0] 's is [0.42, 0.39, 0.19]
In community 93 the proportion of [1, -1, 0] 's is [0.43, 0.39, 0.18]
In community 94 the proportion of [0, 1, -1] 's is [0.09, 0.66, 0.25]
In community 95 the proportion of [1, 0, -1] 's is [0.21, 0.31, 0.48]
In community 96 the proportion of [1, -1, 0] 's is [0.51, 0.46, 0.03]
In community 97 the proportion of [-1, 0, 1] 's is [0.43, 0.35, 0.22]
In community 98 the proportion of [0, 1, -1] 's is [0.16, 0.52, 0.32]
In community 99 the proportion of [-1, 0, 1] 's is [0.44, 0.33, 0.23]
SBM Graph: 10000 nodes, 297281 edges
dict_keys(['dmv', 'dwmv', 'dvm', 'dlp'])
In community 0 the proportion of [-1, 0, 1] 's is [0.53, 0.18, 0.29]
In community 1 the proportion of [-1, 1, 0] 's is [0.36, 0.2, 0.44]
In community 2 the proportion of [1, 0, -1] 's is [0.52, 0.21, 0.27]
In community 3 the proportion of [1, 0, -1] 's is [0.47, 0.25, 0.28]
In community 4 the proportion of [1, 0, -1] 's is [0.4, 0.07, 0.53]
In community 5 the proportion of [0, -1, 1] 's is [0.31, 0.51, 0.18]
In community 6 the proportion of [-1, 0, 1] 's is [0.55, 0.25, 0.2]
In community 7 the proportion of [1, -1, 0] 's is [0.39, 0.41, 0.2]
In community 8 the proportion of [-1, 1, 0] 's is [0.47, 0.4, 0.13]
In community 9 the proportion of [-1, 1, 0] 's is [0.55, 0.37, 0.08]
In community 10 the proportion of [0, 1, -1] 's is [0.09, 0.52, 0.39]
In community 11 the proportion of [-1, 0, 1] 's is [0.45, 0.22, 0.33]
In community 12 the proportion of [-1, 1, 0] 's is [0.45, 0.47, 0.08]
In community 13 the proportion of [-1, 1, 0] 's is [0.57, 0.22, 0.21]
In community 14 the proportion of [0, -1, 1] 's is [0.41, 0.4, 0.19]
In community 15 the proportion of [1, -1, 0] 's is [0.32, 0.35, 0.33]
In community 16 the proportion of [0, -1, 1] 's is [0.24, 0.39, 0.37]
In community 17 the proportion of [-1, 0, 1] 's is [0.59, 0.16, 0.25]
In community 18 the proportion of [0, 1, -1] 's is [0.35, 0.24, 0.41]
In community 19 the proportion of [1, 0, -1] 's is [0.3, 0.27, 0.43]
In community 20 the proportion of [-1, 1, 0] 's is [0.48, 0.24, 0.28]
In community 21 the proportion of [-1, 1, 0] 's is [0.52, 0.23, 0.25]
In community 22 the proportion of [1, -1, 0] 's is [0.46, 0.37, 0.17]
In community 23 the proportion of [-1, 0, 1] 's is [0.45, 0.31, 0.24]
In community 24 the proportion of [1, -1, 0] 's is [0.42, 0.31, 0.27]
In community 25 the proportion of [1, -1, 0] 's is [0.38, 0.46, 0.16]
In community 26 the proportion of [1, -1, 0] 's is [0.58, 0.32, 0.1]
In community 27 the proportion of [0, 1, -1] 's is [0.28, 0.34, 0.38]
In community 28 the proportion of [-1, 0, 1] 's is [0.23, 0.3, 0.47]
In community 29 the proportion of [-1, 0, 1] 's is [0.58, 0.14, 0.28]
In community 30 the proportion of [0, -1, 1] 's is [0.3, 0.49, 0.21]
In community 31 the proportion of [0, 1, -1] 's is [0.39, 0.33, 0.28]
In community 32 the proportion of [1, 0, -1] 's is [0.41, 0.25, 0.34]
In community 33 the proportion of [1, -1, 0] 's is [0.34, 0.45, 0.21]
In community 34 the proportion of [1, 0, -1] 's is [0.61, 0.22, 0.17]
In community 35 the proportion of [1, 0, -1] 's is [0.46, 0.12, 0.42]
In community 36 the proportion of [1, -1, 0] 's is [0.36, 0.4, 0.24]
In community 37 the proportion of [1, -1, 0] 's is [0.27, 0.56, 0.17]
In community 38 the proportion of [-1, 1, 0] 's is [0.41, 0.31, 0.28]
In community 39 the proportion of [1, 0, -1] 's is [0.39, 0.18, 0.43]
In community 40 the proportion of [1, 0, -1] 's is [0.38, 0.31, 0.31]
In community 41 the proportion of [-1, 1, 0] 's is [0.33, 0.38, 0.29]
In community 42 the proportion of [-1, 1, 0] 's is [0.51, 0.3, 0.19]
In community 43 the proportion of [-1, 1, 0] 's is [0.45, 0.37, 0.18]
In community 44 the proportion of [-1, 1, 0] 's is [0.5, 0.33, 0.17]
In community 45 the proportion of [-1, 1, 0] 's is [0.29, 0.56, 0.15]
In community 46 the proportion of [1, -1, 0] 's is [0.59, 0.23, 0.18]
In community 47 the proportion of [1, -1, 0] 's is [0.23, 0.53, 0.24]
In community 48 the proportion of [1, -1, 0] 's is [0.43, 0.4, 0.17]
In community 49 the proportion of [0, -1, 1] 's is [0.17, 0.61, 0.22]
In community 50 the proportion of [-1, 0, 1] 's is [0.51, 0.24, 0.25]
In community 51 the proportion of [1, 0, -1] 's is [0.37, 0.21, 0.42]
In community 52 the proportion of [-1, 1, 0] 's is [0.34, 0.42, 0.24]
In community 53 the proportion of [0, 1, -1] 's is [0.17, 0.22, 0.61]
In community 54 the proportion of [-1, 0, 1] 's is [0.56, 0.25, 0.19]
In community 55 the proportion of [1, 0, -1] 's is [0.59, 0.19, 0.22]
In community 56 the proportion of [1, -1, 0] 's is [0.62, 0.26, 0.12]
